model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Lenovo ThinkPad E14 Gen 4 21E300C4IV ,Lenovo,לא רלוונטי,ללא,"1.64 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,4148,4629,4388.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161519,2022
  Lenovo IdeaPad Gaming 3 15IAH7 82S900FJIV ,Lenovo,גיימינג,Windows 11 Home,"2.31 ק""ג",16 GB,3.3Ghz,12450H,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,לא זמין,ללא,כולל,לא זמין,לא כולל,3939,4717,4328.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1183088,מ 2023
  Lenovo ThinkPad E14 Gen 4 21E30084IV ,Lenovo,לא רלוונטי,ללא,"1.64 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,250 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,2948,3303,3125.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161882,2022
  Lenovo ThinkPad E15 Gen 4 21E60093IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,3779,4390,4084.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1166344,2022
  Lenovo V14 82C4007VIV ,Lenovo,לא רלוונטי,ללא,"1.59 ק""ג",8 GB,1.2Ghz,1005G1,דור 10,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,לא זמין,60 Hz,ללא,כולל,לא כולל,לא כולל,1109,1999,1554.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1066287,2020
  Lenovo IdeaPad Gaming 3 15IAH7 82S900GSIV ,Lenovo,גיימינג,Windows 11 Home,"2.31 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,LCD,165 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,5739,6338,6038.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1168458,2022
  Lenovo ThinkPad X1 Carbon Gen 10 21CB001GIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.12 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7977,9089,8533.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1166907,2022
  Lenovo Yoga Slim 7 Carbon 13IAP7 82U9006YIV ,Lenovo,לא רלוונטי,Windows 11 Home,"0.98 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,1000 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,90 Hz,כולל,1 מגה פיקסל,מצלמת IR,לא כולל,5695,6200,5947.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1168733,2022
  Lenovo Yoga 9 14IAP7 82LU0028IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,4.4Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,5620,6885,6252.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1147262,2022
  Lenovo IdeaPad 3 17IAU7 82RL004PIV ,Lenovo,לא רלוונטי,ללא,"2.04 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2428,2879,2653.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170504,2022
  Lenovo IdeaPad 3 15IAU7 82RK00CWIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1970,2314,2142.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170498,2022
  Lenovo Yoga Slim 9 14IAP7 82T0004FIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.37 ק""ג",32 GB,3.6Ghz,1280P,דור 12,DDR5,1000 GB,SSD,לא כולל,14 אינטש,3840x2400,OLED,60 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7999,8711,8355.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171145,2022
  Lenovo ThinkPad L15 Gen 3 21C3000EIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.76 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,4939,5492,5215.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161895,2022
  Lenovo IdeaPad 3 15IAU7 82RK00C7IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1878,2209,2043.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1169634,2022
  Lenovo ThinkPad L15 Gen 3 21C3001JIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.76 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,4879,5169,5024.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1162859,2022
  Lenovo IdeaPad 3 15IAU7 82RK00D9IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,4.7Ghz,1255U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,לא כולל,לא כולל,לא כולל,2849,3216,3032.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171735,2022
  Lenovo ThinkPad T14s Gen 3 21BR003BIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.21 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR5,256 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,6170,6689,6429.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164184,2022
  Lenovo IdeaPad Flex 5 14IRU8 82Y00048IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,4584,5990,5287.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1191199,מ 2023
  Lenovo ThinkBook 13s G4 IAP 21AR004DIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.23 ק""ג",16 GB,4.4Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,60 Hz,ללא,קורא טביעות אצבע,כולל,לא כולל,3790,3990,3890.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1169361,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R700A4IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.5 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,קורא טביעות אצבע,כולל,לא כולל,4348,5953,5150.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163481,2022
  Lenovo ThinkPad E14 Gen 4 21E30085IV ,Lenovo,לא רלוונטי,ללא,"1.64 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,"מצלמת IR, קורא טביעות אצבע",כולל,לא כולל,3248,3629,3438.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1180977,מ 2023
  Lenovo ThinkPad L13 Gen 3 21B3000UIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.26 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,13.3 אינטש,1920x1200,IPS,60 Hz,ללא,מצלמת IR,כולל,אופציונלי,4977,5120,5048.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163475,2022
  Lenovo ThinkBook 15 G4 IAP 21DJ005SIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.7 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,קורא טביעות אצבע,כולל,לא כולל,3949,4379,4164.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165586,2022
  Lenovo Yoga 9 14IRP8 83B10037IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,3.7Ghz,1360P,דור 13,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,"מצלמת IR, קורא טביעות אצבע",כולל,לא כולל,7645,8390,8017.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1185901,מ 2023
  Lenovo Legion 5 Pro 16IAH7H 82RF0075IV ,Lenovo,גיימינג,Windows 11 Home,"2.49 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR5,512 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,165 Hz,ללא,לא כולל,1 מגה פיקסל,לא כולל,6199,6957,6578.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1168639,2022
  Lenovo ThinkPad L15 Gen 3 21C3001DIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.76 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,מצלמת IR,כולל,לא כולל,4438,4690,4564.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163480,2022
  Lenovo ThinkBook 16p G2 ACH 20YM002WIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.99 ק""ג",16 GB,2Ghz,5600U,דור 4,DDR4,512 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,60 Hz,ללא,קורא טביעות אצבע,כולל,לא כולל,4431,6258,5344.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161885,2022
  Lenovo ThinkPad L15 Gen 3 21C30026IV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.22 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,4269,4499,4384.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163692,2022
  Lenovo Yoga Slim 7 Carbon 13IAP7 82U9006XIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"0.98 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,1000 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,90 Hz,כולל,1 מגה פיקסל,מצלמת IR,לא כולל,5877,6250,6063.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1168737,2022
  Lenovo ThinkBook 16p G2 ACH 20YM002UIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.99 ק""ג",16 GB,3.2Ghz,5800H,דור 4,DDR4,512 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4789,5969,5379.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1155118,2022
  Lenovo ThinkPad X1 Carbon Gen 10 21CB001DIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.12 ק""ג",16 GB,4.4Ghz,1240P,דור 12,DDR5,256 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,6943,7544,7243.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163709,2022
  Lenovo Yoga 7 14IAL7 82QE008QIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.42 ק""ג",16 GB,3.3Ghz,1240P,דור 12,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,כולל,מצלמת IR,לא כולל,4932,5339,5135.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167794,2022
  Lenovo IdeaPad Flex 5 16IAU7 82R8005QIV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.1 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,1000 GB,SSD,לא כולל,16 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3771,4516,4143.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1166361,2022
  Lenovo IdeaPad 3 15IAU7 82RK00CPIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1878,2156,2017.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170502,2022
  Lenovo Yoga 9 14IRP8 83B10036IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,5Ghz,1360P,דור 13,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7456,8049,7752.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1183094,מ 2023
  Lenovo ThinkPad P14s Gen 3 21AK000CIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.24 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,6557,7279,6918.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167002,2022
  Lenovo ThinkBook 15 G4 IAP 21DJ00GGIV ,Lenovo,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,3323,3879,3601.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167311,2022
  Lenovo ThinkPad L14 Gen 3 21C1002KIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,5487,5994,5740.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161898,2022
  Lenovo IdeaPad 3 17IAU7 82RL004RIV ,Lenovo,לא רלוונטי,ללא,"2.04 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,17.3 אינטש,1920x1080,IPS,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,2593,2897,2745.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171602,2022
  Lenovo Yoga 9 14IRP8 83B1003CIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,3.7Ghz,1360P,דור 13,DDR5,1000 GB,SSD,לא כולל,14 אינטש,3840x2400,OLED,60 Hz,כולל,כולל,מצלמת IR,לא כולל,8227,8670,8448.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1185902,מ 2023
  Lenovo IdeaPad 3 15IAU7 82RK00DAIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",8 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2479,3290,2884.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171601,2022
  Lenovo IdeaPad Flex 5 14IRU8 82Y00045IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,3.4Ghz,1335U,דור 13,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3897,4690,4293.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1191378,מ 2023
  Lenovo ThinkPad T14 Gen 3 21AH00ERIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.32 ק""ג",16 GB,4.4Ghz,1240P,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,6338,6949,6643.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163695,2022
  Lenovo V15 ADA 82C7008TIV ,Lenovo,לא רלוונטי,ללא,"1.85 ק""ג",4 GB,1.2Ghz,3020e,לא זמין,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1366x768,LCD,60 Hz,ללא,לא זמין,לא כולל,לא כולל,983,1388,1185.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1132725,2021
  Lenovo IdeaPad 3 15IAU7 82RK00D8IV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",8 GB,4.7Ghz,1255U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2378,2845,2611.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171583,2022
  Lenovo ThinkBook 15 G4 IAP 21DJ0064IV ,Lenovo,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,2783,3397,3090.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161883,2022
  Lenovo IdeaPad 3 15IAU7 82RK00DEIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2799,3262,3030.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171606,2022
  Lenovo Yoga 9 14IRP8 83B10038IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,3.7Ghz,1360P,דור 13,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7649,8390,8019.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1181697,מ 2023
