model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Apple MacBook Pro 14 MKGQ3HB/A MKGT3HB/A ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7970,10902,9436.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1139020,1/2022
  Apple MacBook Pro 13 M2 Z16S000FK ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6980,7543,7261.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1179817,1/2023
  Apple MacBook Pro 16 MK1H3HB/A MK1A3HB/A ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11190,14798,12994.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1150185,4/2022
  Apple MacBook Pro 14 MKGR3HB/A MKGP3HB/A ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,14 אינטש,3024x1964,לא זמין,לא זמין,לא זמין,כולל,קורא טביעות אצבע,לא כולל,7700,8924,8312.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1130750,11/2021
  Apple MacBook Air 13 Z15S-16-HB Z15W-16-HB Z15Y-16-HB Z160-16-HB ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5847,6243,6045.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1172315,11/2022
  Apple MacBook Pro 16 MK193HB/A MK1F3HB/A ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7890,10715,9302.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1138077,1/2022
  Apple MacBook Pro 14 M2 Pro MPHF3HB/A MPHJ3HB/A ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,לא זמין,120 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10232,11297,10764.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1183002,1/2023
  Apple MacBook Pro 16 Z14Z000BZ Z14W000BZ ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,8155,10210,9182.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1149857,4/2022
  Apple MacBook Pro 16 M2 Pro MNW83HB/A MNWC3HB/A ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,לא זמין,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10232,11297,10764.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1182992,1/2023
  Apple MacBook Air 13 Z12400072 Z1270004A Z12A000B3 ,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",16 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,1 מגה פיקסל,"לא כולל, קורא טביעות אצבע",לא כולל,4997,5850,5423.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1131434,11/2021
  Apple MacBook Air 13 Z15T-16-HB Z15X-16-HB Z15Z-16-HB Z161-16-HB ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.6 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6550,7605,7077.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1172316,11/2022
  Apple MacBook Pro 16 M2 Pro MNW93HB/A MNWD3HB/A ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11010,12197,11603.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1182993,1/2023
  Apple MacBook Pro 13 Z16T000TG ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6885,7543,7214.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1181715,1/2023
model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
