model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Apple MacBook Pro 14 M2 Pro Z17G001NN ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11884,12416,12150.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1183739,2/2023
  Apple MacBook Pro 13 Z11C0004X Z11F0004X ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,6748,7773,7260.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1100787,1/2021
  Apple MacBook Pro 16 M2 Max MNWA3HB/A MNWE3HB/A ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,לא זמין,"165 Hz, 60 Hz",ללא,כולל,קורא טביעות אצבע,לא כולל,14790,16305,15547.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1182994,1/2023
  Apple MacBook Pro 13 MYD92HB/A MYDC2HB/A ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",8 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,5699,6077,5888.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1099487,1/2021
  Apple MacBook Pro 13 with Touch Bar MNQG2HB/A ,Apple,לא רלוונטי,MacOS,"1.37 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,DDR4,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,60 Hz,ללא,לא זמין,לא זמין,לא כולל, , ,4499.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=932826,11/2016
  Apple MacBook Pro 13 MPXW2HB/A ,Apple,לא רלוונטי,MacOS,"1.37 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,DDR4,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל, , ,4499.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=946424,6/2017
  Apple MacBook Pro 13 MPXY2HB/A ,Apple,לא רלוונטי,MacOS,"1.37 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,DDR4,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,60 Hz,ללא,כולל,לא זמין,לא כולל, , ,4499.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=946426,6/2017
  Apple MacBook Pro 16 Z1500006T ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11965,13999,12982.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1149863,4/2022
  Apple MacBook Pro 13 M2 Z16R-16-HB ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,6249,6798,6523.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1191223,4/2023
  Apple MacBook Pro 14 Z17G001NA ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,לא זמין,לא כולל,8391,9180,8785.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184761,2/2023
  Apple MacBook Pro 14 Z15G000MW ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,לא זמין,ללא,כולל,קורא טביעות אצבע,לא כולל,8499,9976,9237.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1152460,5/2022
  Apple MacBook Pro 13 Z11F-16-HB ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,"LED, IPS",לא זמין,ללא,כולל,קורא טביעות אצבע,לא כולל,6618,6619,6618.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1108561,3/2021
  Apple MacBook Pro 16 M1 Pro Z14Y-HB-KIT ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7380,8096,7738.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1179327,12/2022
  Apple MacBook Pro 16 M2 Pro Z174000YN ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,12590,13325,12957.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184936,2/2023
  Apple MacBook 12 MNYJ2HB/A ,Apple,לא רלוונטי,MacOS,"0.92 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,DDR3,512 GB,SSD,לא כולל,12 אינטש,2304X1440,"LED, IPS",60 Hz,ללא,כולל,לא כולל,לא כולל, , ,5599.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=946430,6/2017
  Apple MacBook Pro 14 Z17H0013G ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10594,11478,11036.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184653,2/2023
  Apple MacBook Pro 14 M1 Pro Z15J000MS Z15G000MU ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,9299,10886,10092.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1151723,4/2022
  Apple MacBook Pro 14 M1 Pro Z15J000MH Z15G000MK ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,לא זמין,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7700,7900,7800.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1151722,4/2022
  Apple MacBook Pro 14 Z17G001N5 ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,8285,8999,8642.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184652,2/2023
  Apple MacBook Pro 14 Z15G000ND ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10250,12250,11250.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1166904,8/2022
  Apple MacBook Pro 14 Z15J000MW Z15G000MY ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,DDR4,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,לא זמין,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10199,11700,10949.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1152462,5/2022
  Apple MacBook Pro 13 M2 Z16R000WW Z16T000TU ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",24 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7789,8063,7926.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1186192,2/2023
  Apple MacBook Pro 14 Z17L0013H ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10589,11221,10905.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184654,2/2023
  Apple MacBook Pro 16 M1 Pro Z14V-HB-KIT ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,8096,9171,8633.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1181434,1/2023
  Apple MacBook Pro 14 Z15J000MU ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,8780,9976,9378.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1152461,5/2022
  Apple MacBook Pro 14 M2 Pro Z17G001NF ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,9798,10564,10181.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1183736,2/2023
  Apple MacBook Air 15 M2 Z18P000EH Z18L000EC ,Apple,לא רלוונטי,MacOS,"1.51 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,15.3 אינטש,2880X1864,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל, , ,6990.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1197839,6/2023
  Apple MacBook Pro 16 M2 Pro Z174000YH ,Apple,לא רלוונטי,MacOS,"2.15 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10232,11399,10815.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184931,2/2023
  Apple MacBook Pro 16 Z175000NA ,Apple,לא רלוונטי,MacOS,"2.15 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11044,12397,11720.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184658,2/2023
  Apple MacBook Pro 16 M1 Z14V-MAX24-HB ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10190,11299,10744.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1161803,7/2022
  Apple MacBook Pro 14 Z15J000NA Z15G000N4 ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10299,10886,10592.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1156616,6/2022
  Apple MacBook Air 15 M2 Z18Q000CF Z18N000CD ,Apple,לא רלוונטי,MacOS,"1.51 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,15.3 אינטש,2880X1864,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל, , ,7690.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1197840,6/2023
  Apple MacBook Pro 16 Z178000N6 ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11010,12397,11703.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184933,2/2023
  Apple MacBook Pro 16 M2 Pro Z174001FT Z177001D9 ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,10232,11478,10855.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1188448,3/2023
  Apple MacBook Pro 16 Z14V000E9 ,Apple,לא רלוונטי,MacOS,"2.2 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11232,14974,13103.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1149861,4/2022
  Apple MacBook Pro 16 Z14V000ED Z14Y000ED ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11232,14969,13100.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1149862,4/2022
  Apple MacBook Pro 16 M2 Pro Z175001LN ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,11045,12516,11780.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1191197,4/2023
  Apple MacBook Pro 14 M1 Pro Z15J000NB Z15G000N6 ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11196,12700,11948.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1151725,4/2022
  Apple MacBook Pro 14 M2 Max Z17J000RT ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,12750,13899,13324.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184938,2/2023
  Apple MacBook Pro 14 M2 Pro Z17G001NK ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,2000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,12588,13804,13196.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1183741,2/2023
  Apple MacBook Pro 14 Z15G000N0 Z15J000N6 ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10600,11791,11195.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1159274,6/2022
  Apple MacBook Pro 16 Z14W000C7 Z14Z000C7 ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",32 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,לא זמין,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11095,12999,12047.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1149860,4/2022
  Apple MacBook Pro 14 Z15G000NF ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,12039,13160,12599.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1168505,9/2022
  Apple MacBook Pro 16 M1 Max Z150-HB-KIT ,Apple,לא רלוונטי,MacOS,"2.2 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11590,11685,11637.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1185922,2/2023
  Apple MacBook Pro 16 M1 Max Z14Y000E8 ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,11599,14615,13107.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1189975,3/2023
  Apple MacBook Pro 14 M1 Z15H-MAX24-HB ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,לא זמין,לא כולל,11390,12535,11962.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1161802,7/2022
  Apple MacBook Pro 14 M2 MAX Z17G001NX ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",64 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,14419,15192,14805.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1183742,2/2023
  Apple MacBook Pro 14 Z15K000C8 Z15H000C9 ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,,,,,,,,,,,,,12781,14064,13422.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1152463,5/2022
  Apple MacBook Pro 16 M2 Max Z176000B4 ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,,,,,,,,,,,,,14799,16068,15433.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184940,2/2023
  Apple MacBook Pro 16 M2 Max Z179000AZ ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,,,,,,,,,,,,,14799,16068,15433.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184942,2/2023
  Apple MacBook Pro 14 Z15J000NG ,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,,,,,,,,,,,,,12215,13160,12687.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1146632,3/2022
  Apple MacBook Pro 16 M2 Pro Z175000NE ,Apple,לא רלוונטי,MacOS,"2.15 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,,,,,,,,,,,,,12999,13978,13488.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1193214,5/2023
