model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Dell Latitude 5440 L5440-5641 ,Dell,לא רלוונטי,Windows 10 PRO,"1.36 ק""ג",16 GB,3.4Ghz,1335U,דור 13,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5475,5816,5645.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1193491,5/2023
  Dell Inspiron 3511 IN-RD33-14018 ,Dell,לא רלוונטי,Windows 11 Home,"1.73 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2798,3290,3044.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1178344,12/2022
  Dell Inspiron 5620 IN-RD33-14002 ,Dell,לא רלוונטי,Windows 11 Home,"1.87 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,16 אינטש,1920x1200,LCD,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,4344,4860,4602.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1179812,1/2023
  Dell Vostro 7620 V7620-7662 ,Dell,לא רלוונטי,Windows 11 Pro,"1.96 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,16 אינטש,1920x1200,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,6448,7266,6857.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1172234,10/2022
  Dell Latitude 5430 LT-RD33-13970 ,Dell,לא רלוונטי,Linux,"1.36 ק""ג",8 GB,3.3Ghz,1235U,לא זמין,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LED,60 Hz,ללא,כולל,לא זמין,לא כולל,4450,4741,4595.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1175067,11/2022
  Dell Latitude 3420 LT-RD33-14106 ,Dell,לא רלוונטי,Windows 11 Pro,"1.52 ק""ג",8 GB,2.4Ghz,1135G7,דור 11,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,3416,3789,3602.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1180433,1/2023
  Dell XPS15 9520 XPS15-7334 ,Dell,לא רלוונטי,Windows 10 PRO,"2.05 ק""ג",32 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,3840x2400,LCD,60 Hz,כולל,1 מגה פיקסל,לא כולל,לא כולל,11767,13730,12748.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1156665,6/2022
  Dell Inspiron 5620 IN-RD33-14004 ,Dell,לא רלוונטי,Windows 11 Home,"1.87 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,16 אינטש,1920x1200,LCD,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,4790,5440,5115.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1179814,1/2023
  Dell Latitude 7330 L7330-6416 ,Dell,לא רלוונטי,Windows 10 PRO,"0.960 ק""ג",16 GB,3.3Ghz,1235U,דור 12,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,5607,7226,6416.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1161479,7/2022
  Dell XPS15 9520 XPS15-7225 ,Dell,לא רלוונטי,Windows 10 PRO,"2.05 ק""ג",32 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,3456X2160,OLED,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,11830,13779,12804.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1156663,6/2022
  Dell Latitude 5430 LT-RD33-14092 ,Dell,לא רלוונטי,ללא,"1.36 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,4150,4698,4424.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1181563,1/2023
  Dell Inspiron 3511 IN-RD33-14020 ,Dell,לא רלוונטי,Windows 11 Home,"1.73 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1750,2390,2070.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1178340,12/2022
